File,Nodes,TimeTaken,TotalMessages,TotalDataSent,AvgDataNode,MaxLevel
100.txt,100,0.00309199,4469,27532,275,3
5.txt,5,5.5108e-05,28,168,33,1
90.txt,90,0.00246425,3772,23284,258,3
10.txt,10,8.7066e-05,122,764,76,2
150.txt,150,0.0721273,9532,58852,392,4
20.txt,20,0.000251756,378,2408,120,3
30.txt,30,0.000285863,547,3376,112,2
60.txt,60,0.000323765,1950,12132,202,3
80.txt,80,0.00293115,3042,18824,235,3
50.txt,50,0.000232173,1458,9096,181,3
70.txt,70,0.00278035,2375,14744,210,3
40.txt,40,0.000353393,962,6052,151,3
